subject_id,session_left,session_right,edge,left_value,right_value,jaccard_min_over_max
sub-NORB00064,ses-1,ses-2,Fp2-F8,6.371340349917906,8.16715173941804,0.7801177880860461
sub-NORB00064,ses-1,ses-2,Fp2-T3,0.8524609236126381,2.409558973572021,0.3537829673240651
sub-NORB00064,ses-1,ses-2,Fp2-T4,1.0685434350258496,4.932410701552696,0.21663715770657094
sub-NORB00064,ses-1,ses-2,Fp2-T5,0.8582875733213041,1.2402194474701873,0.6920449240431185
sub-NORB00064,ses-1,ses-2,Fp2-T6,0.9830817114228139,1.7866571440844905,0.5502352338151366
sub-NORB00064,ses-1,ses-2,Fp2-FZ,12.697868308297405,7.981672713289965,0.6285836740072624
sub-NORB00064,ses-1,ses-2,Fp2-CZ,4.057773495012781,3.268209432959909,0.8054193850338645
sub-NORB00064,ses-1,ses-2,Fp2-PZ,3.2999730126602604,4.434975089546632,0.7440792667445629
sub-NORB00064,ses-1,ses-2,F3-F4,10.610312994184264,9.841517566769124,0.9275426250067709
sub-NORB00064,ses-1,ses-2,F3-C3,4.917478738116363,6.8646382260190695,0.7163492927387813
sub-NORB00064,ses-1,ses-2,F3-C4,5.281712338517066,5.694342232530657,0.9275368642832322
sub-NORB00064,ses-1,ses-2,F3-P3,2.5379357612050777,3.5490800378852976,0.7150967952577634
sub-NORB00064,ses-1,ses-2,F3-P4,1.8843516748646343,3.9766556891433877,0.47385336377224624
sub-NORB00064,ses-1,ses-2,F3-O1,1.4160515038613672,0.8485788858815676,0.5992570775622327
sub-NORB00064,ses-1,ses-2,F3-O2,0.5345939473836465,1.2331549379427265,0.43351725799801777
sub-NORB00064,ses-1,ses-2,F3-F7,3.573813286898336,6.177653843890325,0.5785065620717521
sub-NORB00064,ses-1,ses-2,F3-F8,5.907711966342569,8.856476121474449,0.6670499513929743
sub-NORB00064,ses-1,ses-2,F3-T3,0.918847828768934,2.13298093247965,0.43078107955740036
sub-NORB00064,ses-1,ses-2,F3-T4,1.0552858267457093,4.491400385458812,0.23495697024969378
sub-NORB00064,ses-1,ses-2,F3-T5,0.8341912713727897,1.0696335141971258,0.7798851291593452
sub-NORB00064,ses-1,ses-2,F3-T6,0.9888003001010521,1.7242094968492356,0.573480369936457
sub-NORB00064,ses-1,ses-2,F3-FZ,13.874904399606521,11.4767090280897,0.8271558994248039
sub-NORB00064,ses-1,ses-2,F3-CZ,4.115257077115009,3.6719788303537433,0.8922841906459887
sub-NORB00064,ses-1,ses-2,F3-PZ,3.0755794156071223,3.7995609019835483,0.8094565385177867
sub-NORB00064,ses-1,ses-2,F4-C3,5.048650544975843,5.693745234912139,0.8867011671016133
sub-NORB00064,ses-1,ses-2,F4-C4,6.264383542289476,7.1202666054570924,0.8797962055926876
sub-NORB00064,ses-1,ses-2,F4-P3,2.8998234102983296,3.200704700391357,0.9059952984552939
sub-NORB00064,ses-1,ses-2,F4-P4,2.1716510802180813,4.291556656318793,0.5060287569594567
sub-NORB00064,ses-1,ses-2,F4-O1,1.221076464317867,0.9406459992838629,0.7703416016697515
sub-NORB00064,ses-1,ses-2,F4-O2,0.5218107203705277,1.1978263074201885,0.4356313742134905
sub-NORB00064,ses-1,ses-2,F4-F7,3.2461355837633317,5.319443679745627,0.6102396752734415
sub-NORB00064,ses-1,ses-2,F4-F8,6.284838757387586,8.680954279385581,0.7239801702805896
sub-NORB00064,ses-1,ses-2,F4-T3,0.8629482264559415,1.867511932478121,0.4620844512146384
sub-NORB00064,ses-1,ses-2,F4-T4,1.2211773205573937,4.15262704587024,0.2940734400340253
sub-NORB00064,ses-1,ses-2,F4-T5,0.7557295414539029,1.072792293193635,0.7044509419471534
sub-NORB00064,ses-1,ses-2,F4-T6,0.8138528662220281,1.575856865139371,0.5164510078458489
sub-NORB00064,ses-1,ses-2,F4-FZ,10.856607626426989,9.15351023321498,0.8431280330085473
sub-NORB00064,ses-1,ses-2,F4-CZ,4.750121326009643,3.6173560723850366,0.7615291955971596
sub-NORB00064,ses-1,ses-2,F4-PZ,3.685698974880677,4.4020303278252815,0.837272508456685
